"time" "N1" "N2" "N3"
"287" 71.5 7.6208 21.2079 32.0884
"288" 71.75 7.4522 20.9608 32.4257
"289" 72 7.3051 20.7771 32.6867
"290" 72.25 7.1747 20.6274 32.8953
"291" 72.5 7.0632 20.4673 33.0762
"292" 72.75 6.9728 20.2994 33.241
"293" 73 6.9038 20.1252 33.3918
"294" 73.25 6.8561 19.9453 33.5292
"295" 73.5 6.8296 19.7599 33.6532
"296" 73.75 6.8245 19.5693 33.7637
"297" 74 6.8408 19.3737 33.8606
"298" 74.25 6.8788 19.1732 33.9437
"299" 74.5 6.9388 18.968 34.0128
"300" 74.75 7.0215 18.7581 34.0675
"301" 75 7.1275 18.5436 34.1073
"302" 75.25 7.2578 18.3244 34.1316
"303" 75.5 7.4135 18.1004 34.1398
"304" 75.75 7.5959 17.8717 34.131
"305" 76 7.8066 17.6378 34.1042
"306" 76.25 8.0475 17.3988 34.0583
"307" 76.5 8.3209 17.1541 33.992
"308" 76.75 8.6293 16.9036 33.9036
"309" 77 8.9756 16.6466 33.7915
"310" 77.25 9.3633 16.3828 33.6535
"311" 77.5 9.7962 16.1114 33.4873
"312" 77.75 10.2789 15.8319 33.2903
"313" 78 10.8164 15.5432 33.0592
"314" 78.25 11.3873 15.2473 32.7975
"315" 78.5 11.9775 14.9491 32.5176
"316" 78.75 12.588 14.6501 32.2224
"317" 79 13.219 14.3504 31.9124
"318" 79.25 13.87 14.0503 31.5877
"319" 79.5 14.5408 13.75 31.2485
"320" 79.75 15.2307 13.4496 30.8951
"321" 80 15.9391 13.1493 30.5278
"322" 80.25 16.6654 12.8494 30.1469
"323" 80.5 17.4088 12.5502 29.753
"324" 80.75 18.1684 12.2517 29.3466
"325" 81 18.9432 11.9543 28.9281
"326" 81.25 19.7323 11.6583 28.4983
"327" 81.5 20.5344 11.3639 28.0577
"328" 81.75 21.3484 11.0714 27.6072
"329" 82 22.1731 10.781 27.1474
"330" 82.25 23.0073 10.493 26.6792
"331" 82.5 23.8496 10.2077 26.2034
"332" 82.75 24.6988 9.9253 25.7208
"333" 83 25.5534 9.6461 25.2322
"334" 83.25 26.4122 9.3703 24.7386
"335" 83.5 27.2738 9.0981 24.2408
"336" 83.75 28.1369 8.8297 23.7397
"337" 84 29.0002 8.5654 23.2361
"338" 84.25 29.8624 8.3054 22.7309
"339" 84.5 30.7223 8.0498 22.2249
"340" 84.75 31.4465 7.8065 21.7454
"341" 85 31.9696 7.5952 21.3606
"342" 85.25 32.359 7.415 21.0704
"343" 85.5 32.6558 7.2595 20.8545
"344" 85.75 32.8877 7.1227 20.6936
"345" 86 33.0793 7.0027 20.5387
"346" 86.25 33.2508 6.9029 20.3738
"347" 86.5 33.4079 6.8243 20.2022
"348" 86.75 33.5514 6.7667 20.0247
"349" 87 33.6817 6.7302 19.8417
"350" 87.25 33.7986 6.7147 19.6535
