"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"69" 17 0.842 3.9042 5.0286 9.0516 8.7003 2.0444 11.8935 1.4129 16.7116 7.6932 3.8223 8.5214 0.1454 0.0857 4.3466 0.4789 1.4464
"70" 17.25 0.8417 3.8515 4.9843 9.0398 8.7116 2.0507 12.2231 1.4073 16.4456 7.6156 3.769 8.4861 0.1495 0.085 4.3119 0.4763 1.4065
"71" 17.5 0.842 3.7983 4.9386 9.0245 8.7195 2.0598 12.556 1.4035 16.1788 7.5362 3.7152 8.4477 0.1533 0.0843 4.2771 0.4738 1.3666
"72" 17.75 0.842 3.7447 4.8918 9.0058 8.724 2.0714 12.8922 1.4012 15.9116 7.4554 3.6611 8.4065 0.1571 0.0836 4.2422 0.4711 1.3267
"73" 18 0.8417 3.6906 4.8437 8.9837 8.7251 2.0854 13.2313 1.4005 15.6441 7.373 3.6066 8.3625 0.1606 0.0829 4.2074 0.4685 1.2867
"74" 18.25 0.8412 3.6362 4.7945 8.9584 8.723 2.1019 13.5732 1.4011 15.3766 7.2893 3.5519 8.3158 0.1641 0.0823 4.1726 0.4658 1.2467
"75" 18.5 0.8403 3.5815 4.7443 8.9299 8.7175 2.1207 13.9177 1.4031 15.1091 7.2042 3.4969 8.2663 0.1674 0.0816 4.1379 0.4632 1.2068
"76" 18.75 0.8391 3.5265 4.693 8.8981 8.7088 2.1418 14.2645 1.4063 14.842 7.1179 3.4417 8.2143 0.1705 0.081 4.1033 0.4605 1.1669
"77" 19 0.8377 3.4713 4.6407 8.8632 8.6968 2.165 14.6134 1.4107 14.5753 7.0304 3.3863 8.1597 0.1735 0.0804 4.0688 0.4578 1.1271
"78" 19.25 0.8359 3.4159 4.5875 8.8252 8.6816 2.1905 14.9641 1.4164 14.3093 6.9418 3.3309 8.1026 0.1764 0.0797 4.0344 0.4551 1.0873
"79" 19.5 0.8339 3.3603 4.5334 8.7841 8.6632 2.2181 15.3163 1.4231 14.0441 6.8523 3.2753 8.0431 0.1791 0.0791 4.0002 0.4524 1.0478
"80" 19.75 0.8316 3.3047 4.4785 8.7401 8.6417 2.2478 15.67 1.4308 13.7798 6.7618 3.2197 7.9812 0.1817 0.0785 3.9662 0.4497 1.0083
"81" 20 0.829 3.249 4.4228 8.6932 8.617 2.2795 16.0246 1.4396 13.5167 6.6704 3.1642 7.9171 0.1842 0.0778 3.9323 0.447 0.9691
"82" 20.25 0.8261 3.1933 4.3664 8.6434 8.5893 2.3133 16.3801 1.4494 13.2548 6.5783 3.1087 7.8508 0.1865 0.0772 3.8987 0.4443 0.93
"83" 20.5 0.8229 3.1376 4.3094 8.5909 8.5586 2.3492 16.7362 1.4601 12.9944 6.4855 3.0532 7.7824 0.1886 0.0766 3.8653 0.4416 0.8912
"84" 20.75 0.8195 3.0819 4.2518 8.5357 8.5249 2.3869 17.0925 1.4717 12.7356 6.3922 2.9979 7.712 0.1907 0.076 3.8322 0.439 0.8526
"85" 21 0.8158 3.0264 4.1936 8.4779 8.4883 2.4266 17.4489 1.4841 12.4784 6.2982 2.9428 7.6397 0.1925 0.0754 3.7994 0.4363 0.8143
"86" 21.25 0.8119 2.971 4.135 8.4176 8.4489 2.4676 17.8052 1.4973 12.2232 6.2039 2.8878 7.5656 0.1943 0.0749 3.7669 0.4337 0.7763
"87" 21.5 0.8077 2.9159 4.076 8.3551 8.407 2.5083 18.1616 1.5113 11.9702 6.1094 2.8332 7.49 0.1962 0.0744 3.7349 0.4312 0.7385
"88" 21.75 0.8033 2.8611 4.0168 8.2905 8.3627 2.5488 18.518 1.5263 11.7196 6.0147 2.7789 7.4129 0.1983 0.0738 3.7033 0.4288 0.7008
"89" 22 0.7987 2.8066 3.9574 8.2239 8.316 2.589 18.8741 1.5423 11.4715 5.9199 2.7249 7.3345 0.2005 0.0733 3.6722 0.4264 0.6634
"90" 22.25 0.7939 2.7524 3.8977 8.1554 8.267 2.6288 19.2298 1.5593 11.226 5.8251 2.6714 7.2548 0.2028 0.0728 3.6416 0.4242 0.6261
"91" 22.5 0.7889 2.6986 3.838 8.085 8.2158 2.6682 19.5849 1.5774 10.9831 5.7304 2.6182 7.1738 0.2052 0.0723 3.6114 0.422 0.5891
"92" 22.75 0.7837 2.6452 3.7781 8.0128 8.1624 2.7073 19.939 1.5967 10.7429 5.6358 2.5655 7.0918 0.2077 0.0718 3.5817 0.4199 0.5523
"93" 23 0.7783 2.5922 3.7182 7.9389 8.1069 2.7459 20.292 1.6173 10.5056 5.5413 2.5132 7.0087 0.2103 0.0713 3.5524 0.4178 0.5158
"94" 23.25 0.7727 2.5397 3.6583 7.8634 8.0493 2.7841 20.6437 1.6392 10.2712 5.4471 2.4614 6.9247 0.213 0.0709 3.5236 0.4158 0.4796
"95" 23.5 0.767 2.4876 3.5985 7.7864 7.9899 2.8218 20.9939 1.6624 10.0397 5.3532 2.4101 6.8398 0.2157 0.0704 3.4953 0.4139 0.4436
"96" 23.75 0.7611 2.436 3.5387 7.708 7.9286 2.859 21.3424 1.6871 9.8113 5.2597 2.3594 6.7541 0.2184 0.0699 3.4674 0.412 0.4079
"97" 24 0.755 2.385 3.479 7.6283 7.8655 2.8957 21.6889 1.7134 9.586 5.1665 2.3091 6.6677 0.2212 0.0695 3.44 0.4102 0.3726
"98" 24.25 0.7487 2.3345 3.4196 7.5473 7.8007 2.9319 22.0334 1.7411 9.3638 5.0738 2.2595 6.5806 0.2241 0.069 3.413 0.4084 0.3375
"99" 24.5 0.7424 2.2845 3.3603 7.4651 7.7343 2.9675 22.3757 1.7706 9.1448 4.9816 2.2104 6.493 0.2269 0.0686 3.3864 0.4066 0.3028
