"time" "Tot"
"451" 112.5 119.9045
"452" 112.75 119.8874
"453" 113 119.8683
"454" 113.25 119.8438
"455" 113.5 119.8164
"456" 113.75 119.7908
"457" 114 119.7676
"458" 114.25 119.7462
"459" 114.5 119.7275
"460" 114.75 119.7111
"461" 115 119.6974
"462" 115.25 119.6863
"463" 115.5 119.6782
"464" 115.75 119.6729
"465" 116 119.6709
"466" 116.25 119.672
"467" 116.5 119.6767
"468" 116.75 119.6849
"469" 117 119.6969
"470" 117.25 119.7126
"471" 117.5 119.7233
"472" 117.75 119.7249
"473" 118 119.7247
"474" 118.25 119.7235
"475" 118.5 119.7225
"476" 118.75 119.7216
"477" 119 119.7211
"478" 119.25 119.7208
"479" 119.5 119.7207
"480" 119.75 119.7208
"481" 120 119.7213
"482" 120.25 119.7219
"483" 120.5 119.7228
"484" 120.75 119.7239
"485" 121 119.7253
"486" 121.25 119.7269
"487" 121.5 119.7288
"488" 121.75 119.7307
"489" 122 119.7331
"490" 122.25 119.7358
"491" 122.5 119.7385
"492" 122.75 119.7415
"493" 123 119.745
"494" 123.25 119.7485
"495" 123.5 119.7523
"496" 123.75 119.7562
"497" 124 119.7605
"498" 124.25 119.765
"499" 124.5 119.766
"500" 124.75 119.7643
"501" 125 119.757
"502" 125.25 119.7312
"503" 125.5 119.7045
"504" 125.75 119.6806
"505" 126 119.66
"506" 126.25 119.6425
"507" 126.5 119.6283
"508" 126.75 119.6173
"509" 127 119.6096
"510" 127.25 119.605
"511" 127.5 119.6036
"512" 127.75 119.6055
"513" 128 119.6106
"514" 128.25 119.6186
"515" 128.5 119.6297
"516" 128.75 119.6436
"517" 129 119.6601
"518" 129.25 119.6795
"519" 129.5 119.7012
"520" 129.75 119.7255
"521" 130 119.7522
"522" 130.25 119.7809
"523" 130.5 119.8117
"524" 130.75 119.8444
"525" 131 119.8787
"526" 131.25 119.9097
"527" 131.5 119.9399
"528" 131.75 119.9706
"529" 132 120.0025
"530" 132.25 120.0356
"531" 132.5 120.0696
"532" 132.75 120.1024
"533" 133 120.1355
"534" 133.25 120.1693
"535" 133.5 120.2012
"536" 133.75 120.1472
"537" 134 120.0309
"538" 134.25 119.9263
"539" 134.5 119.8428
"540" 134.75 119.7801
"541" 135 119.7365
"542" 135.25 119.7109
"543" 135.5 119.7017
"544" 135.75 119.7076
"545" 136 119.7273
"546" 136.25 119.7598
"547" 136.5 119.8038
"548" 136.75 119.8585
"549" 137 119.9227
"550" 137.25 119.9956
"551" 137.5 120.0764
"552" 137.75 120.1563
"553" 138 120.235
"554" 138.25 120.316
"555" 138.5 120.3989
"556" 138.75 120.4839
"557" 139 120.5708
"558" 139.25 120.5467
"559" 139.5 120.4561
"560" 139.75 120.3835
"561" 140 120.3295
"562" 140.25 120.2891
"563" 140.5 120.2566
"564" 140.75 120.2248
"565" 141 120.1953
"566" 141.25 120.1694
"567" 141.5 120.1468
"568" 141.75 120.1275
"569" 142 120.1114
"570" 142.25 120.0984
"571" 142.5 120.0886
"572" 142.75 120.0796
"573" 143 120.0716
"574" 143.25 120.0648
"575" 143.5 120.0594
"576" 143.75 120.0554
"577" 144 120.0525
"578" 144.25 120.0508
"579" 144.5 120.0506
"580" 144.75 120.0516
"581" 145 120.0541
"582" 145.25 120.0577
"583" 145.5 120.0628
"584" 145.75 120.0691
"585" 146 120.0768
"586" 146.25 120.0856
"587" 146.5 120.083
"588" 146.75 120.0537
"589" 147 120.0245
"590" 147.25 120.0027
"591" 147.5 119.9845
"592" 147.75 119.9753
"593" 148 119.9758
"594" 148.25 119.9871
"595" 148.5 120.0103
"596" 148.75 120.0264
"597" 149 120.0224
"598" 149.25 120.0189
"599" 149.5 120.0162
"600" 149.75 120.0147
"601" 150 120.0145
"602" 150.25 120.0153
"603" 150.5 120.0169
"604" 150.75 120.02
"605" 151 120.0241
"606" 151.25 120.0292
"607" 151.5 120.0357
"608" 151.75 120.0432
"609" 152 120.0518
"610" 152.25 120.0615
"611" 152.5 120.0724
"612" 152.75 120.0844
"613" 153 120.0956
"614" 153.25 120.0569
"615" 153.5 120.0031
"616" 153.75 119.9258
"617" 154 119.8609
"618" 154.25 119.8122
"619" 154.5 119.7753
"620" 154.75 119.7458
"621" 155 119.7255
"622" 155.25 119.7142
"623" 155.5 119.7105
"624" 155.75 119.7136
"625" 156 119.7229
"626" 156.25 119.7379
"627" 156.5 119.7577
"628" 156.75 119.7816
"629" 157 119.8093
"630" 157.25 119.8405
"631" 157.5 119.8745
"632" 157.75 119.911
"633" 158 119.9498
"634" 158.25 119.9905
"635" 158.5 120.0329
"636" 158.75 120.0766
"637" 159 120.1137
"638" 159.25 120.1453
"639" 159.5 120.1646
"640" 159.75 120.1725
"641" 160 120.1691
"642" 160.25 120.1627
"643" 160.5 120.1569
"644" 160.75 120.1515
"645" 161 120.1468
"646" 161.25 120.1424
"647" 161.5 120.1384
"648" 161.75 120.1352
"649" 162 120.1325
"650" 162.25 120.1303
"651" 162.5 120.1288
"652" 162.75 120.1279
"653" 163 120.1277
"654" 163.25 120.128
"655" 163.5 120.1292
"656" 163.75 120.1311
"657" 164 120.1335
"658" 164.25 120.137
"659" 164.5 120.1399
"660" 164.75 120.1407
"661" 165 120.1419
"662" 165.25 120.143
"663" 165.5 120.1446
"664" 165.75 120.1462
"665" 166 120.1481
"666" 166.25 120.1502
"667" 166.5 120.1525
"668" 166.75 120.1519
"669" 167 120.1254
"670" 167.25 120.0493
"671" 167.5 119.9772
"672" 167.75 119.9108
"673" 168 119.8495
"674" 168.25 119.7932
"675" 168.5 119.7416
"676" 168.75 119.6944
"677" 169 119.6514
"678" 169.25 119.6123
"679" 169.5 119.5773
"680" 169.75 119.546
"681" 170 119.5183
"682" 170.25 119.4942
"683" 170.5 119.4733
"684" 170.75 119.456
"685" 171 119.4417
"686" 171.25 119.4306
"687" 171.5 119.4228
"688" 171.75 119.4176
"689" 172 119.4146
"690" 172.25 119.4121
"691" 172.5 119.4109
"692" 172.75 119.4106
"693" 173 119.4119
"694" 173.25 119.4143
"695" 173.5 119.4179
"696" 173.75 119.4229
"697" 174 119.4289
"698" 174.25 119.4363
"699" 174.5 119.445
"700" 174.75 119.4548
"701" 175 119.466
"702" 175.25 119.4784
"703" 175.5 119.4921
"704" 175.75 119.5069
"705" 176 119.523
"706" 176.25 119.5405
"707" 176.5 119.5591
"708" 176.75 119.579
"709" 177 119.6002
"710" 177.25 119.6174
"711" 177.5 119.6041
"712" 177.75 119.5735
"713" 178 119.5482
"714" 178.25 119.5231
"715" 178.5 119.5049
"716" 178.75 119.4949
"717" 179 119.4936
"718" 179.25 119.5016
"719" 179.5 119.5021
"720" 179.75 119.4894
"721" 180 119.4776
"722" 180.25 119.4665
