"time" "N1" "N2" "N3"
"226" 56.25 24.5744 26.3767 9.7497
"227" 56.5 24.0811 27.2395 9.4669
"228" 56.75 23.5844 28.1037 9.188
"229" 57 23.0851 28.9682 8.9133
"230" 57.25 22.5842 29.8317 8.6431
"231" 57.5 22.0843 30.6716 8.3779
"232" 57.75 21.6402 31.3144 8.1347
"233" 58 21.2944 31.7891 7.9258
"234" 58.25 21.0342 32.1482 7.7467
"235" 58.5 20.8401 32.4262 7.5908
"236" 58.75 20.6897 32.6469 7.4525
"237" 59 20.5337 32.8349 7.3323
"238" 59.25 20.3688 33.0053 7.2334
"239" 59.5 20.1973 33.1612 7.1564
"240" 59.75 20.0197 33.3035 7.1012
"241" 60 19.8364 33.432 7.0678
"242" 60.25 19.6475 33.5467 7.0564
"243" 60.5 19.4534 33.6476 7.0669
"244" 60.75 19.2541 33.7344 7.0998
"245" 61 19.0498 33.8067 7.1553
"246" 61.25 18.8406 33.8643 7.2341
"247" 61.5 18.6265 33.9067 7.3369
"248" 61.75 18.4074 33.9333 7.4645
"249" 62 18.1834 33.9434 7.6182
"250" 62.25 17.9542 33.9362 7.7993
"251" 62.5 17.7198 33.9106 8.0093
"252" 62.75 17.4798 33.8655 8.2503
"253" 63 17.2341 33.7996 8.5244
"254" 63.25 16.9821 33.7112 8.8343
"255" 63.5 16.7235 33.5986 9.183
"256" 63.75 16.4577 33.4597 9.5739
"257" 64 16.1841 33.292 10.011
"258" 64.25 15.902 33.0929 10.4989
"259" 64.5 15.6105 32.8592 11.0429
"260" 64.75 15.3111 32.5935 11.6228
"261" 65 15.0093 32.3091 12.2217
"262" 65.25 14.7066 32.0094 12.8409
"263" 65.5 14.4033 31.6949 13.4805
"264" 65.75 14.0996 31.3658 14.1399
"265" 66 13.7957 31.0223 14.8189
"266" 66.25 13.4918 30.6646 15.5168
"267" 66.5 13.1882 30.2933 16.233
"268" 66.75 12.8849 29.9085 16.9668
"269" 67 12.5824 29.5109 17.7173
"270" 67.25 12.2808 29.101 18.4837
"271" 67.5 11.9804 28.6793 19.2648
"272" 67.75 11.6815 28.2465 20.0598
"273" 68 11.3843 27.8032 20.8673
"274" 68.25 11.089 27.3503 21.6863
"275" 68.5 10.7961 26.8884 22.5155
"276" 68.75 10.5056 26.4184 23.3536
"277" 69 10.218 25.9412 24.1993
"278" 69.25 9.9334 25.4574 25.0513
"279" 69.5 9.6521 24.9681 25.9082
"280" 69.75 9.3744 24.4741 26.7687
"281" 70 9.1004 23.9762 27.6315
"282" 70.25 8.8304 23.4753 28.4952
"283" 70.5 8.5646 22.9723 29.3586
"284" 70.75 8.3031 22.4681 30.2203
"285" 71 8.0478 21.9686 31.0367
"286" 71.25 7.8176 21.5386 31.6418
"287" 71.5 7.621 21.2082 32.0881
"288" 71.75 7.4523 20.961 32.4255
"289" 72 7.3052 20.7773 32.6866
"290" 72.25 7.1748 20.6275 32.8951
"291" 72.5 7.0633 20.4674 33.0761
"292" 72.75 6.9728 20.2995 33.2408
"293" 73 6.9038 20.1254 33.3917
"294" 73.25 6.856 19.9454 33.5291
"295" 73.5 6.8296 19.7601 33.6531
"296" 73.75 6.8244 19.5695 33.7636
"297" 74 6.8407 19.3739 33.8606
"298" 74.25 6.8787 19.1734 33.9437
"299" 74.5 6.9387 18.9682 34.0128
"300" 74.75 7.0214 18.7583 34.0675
"301" 75 7.1273 18.5438 34.1073
"302" 75.25 7.2576 18.3246 34.1317
"303" 75.5 7.4132 18.1007 34.1399
"304" 75.75 7.5956 17.8719 34.1311
"305" 76 7.8063 17.6381 34.1043
"306" 76.25 8.0472 17.399 34.0585
"307" 76.5 8.3205 17.1544 33.9921
"308" 76.75 8.6288 16.9038 33.9038
"309" 77 8.9751 16.6469 33.7917
