"time" "N1" "N2" "N3" "N4" "N5"
"123" 30.5 10.1105 19.4194 36.0154 19.0847 34.3129
"124" 30.75 10.2283 19.2187 35.8535 19.1087 34.5328
"125" 31 10.3637 19.0168 35.6859 19.129 34.7469
"126" 31.25 10.5174 18.8137 35.5122 19.1454 34.955
"127" 31.5 10.6883 18.6096 35.3327 19.1579 35.1568
"128" 31.75 10.8634 18.4059 35.1506 19.1685 35.3558
"129" 32 11.0407 18.2036 34.9675 19.1779 35.5538
"130" 32.25 11.2201 18.0025 34.7835 19.1861 35.7506
"131" 32.5 11.4017 17.8028 34.5985 19.1933 35.9464
"132" 32.75 11.5854 17.6044 34.4126 19.1993 36.1409
"133" 33 11.7713 17.4073 34.2258 19.2043 36.3343
"134" 33.25 11.9594 17.2116 34.0382 19.208 36.5265
"135" 33.5 12.1496 17.0172 33.8497 19.2107 36.7174
"136" 33.75 12.3421 16.8241 33.6604 19.2122 36.907
"137" 34 12.5367 16.6323 33.4703 19.2126 37.0953
"138" 34.25 12.7336 16.4419 33.2795 19.2118 37.2822
"139" 34.5 12.9326 16.2529 33.0879 19.2099 37.4677
"140" 34.75 13.1339 16.0652 32.8956 19.2069 37.6518
"141" 35 13.3374 15.8788 32.7025 19.2027 37.8344
"142" 35.25 13.5432 15.6938 32.5088 19.1974 38.0156
"143" 35.5 13.7512 15.5102 32.3145 19.191 38.1952
"144" 35.75 13.9614 15.3279 32.1195 19.1834 38.3733
"145" 36 14.1738 15.147 31.9239 19.1747 38.5498
"146" 36.25 14.3886 14.9674 31.7278 19.1648 38.7247
"147" 36.5 14.6055 14.7893 31.5311 19.1538 38.898
"148" 36.75 14.8246 14.6124 31.3338 19.1417 39.0695
"149" 37 15.0316 14.4381 31.1387 19.1301 39.2431
"150" 37.25 15.2176 14.2683 30.9504 19.1152 39.4255
"151" 37.5 15.3853 14.1076 30.7803 19.0793 39.6071
"152" 37.75 15.5388 13.965 30.6495 19.0261 39.7525
"153" 38 15.6796 13.8422 30.5631 18.9578 39.8642
"154" 38.25 15.8082 13.7385 30.52 18.8756 39.9439
"155" 38.5 15.9249 13.6528 30.5185 18.7803 39.9931
"156" 38.75 16.03 13.5843 30.5571 18.6727 40.0131
"157" 39 16.1239 13.5319 30.6341 18.5538 40.0053
"158" 39.25 16.207 13.4947 30.7479 18.4243 39.9711
"159" 39.5 16.2797 13.4718 30.8967 18.285 39.9119
"160" 39.75 16.3423 13.4621 31.0791 18.1368 39.829
"161" 40 16.3952 13.4649 31.2934 17.9802 39.7237
"162" 40.25 16.4388 13.4793 31.5381 17.8161 39.5972
"163" 40.5 16.4735 13.5044 31.8115 17.645 39.4508
"164" 40.75 16.4997 13.5395 32.1123 17.4676 39.2856
"165" 41 16.5177 13.5837 32.4389 17.2845 39.1029
"166" 41.25 16.5278 13.6362 32.7899 17.0964 38.9037
"167" 41.5 16.5305 13.6964 33.1638 16.9036 38.6892
"168" 41.75 16.5261 13.7636 33.5591 16.7068 38.4605
"169" 42 16.515 13.8369 33.9746 16.5065 38.2185
"170" 42.25 16.4975 13.9158 34.4088 16.3032 37.9643
"171" 42.5 16.474 13.9997 34.8604 16.0972 37.6989
"172" 42.75 16.4449 14.0879 35.3279 15.8891 37.4232
"173" 43 16.4111 14.1809 35.7996 15.6799 37.1396
"174" 43.25 16.3743 14.2805 36.2697 15.4709 36.8518
"175" 43.5 16.3352 14.3809 36.7359 15.2627 36.5611
"176" 43.75 16.2877 14.4342 37.104 15.0668 36.2973
"177" 44 16.211 14.4573 37.3923 14.9014 36.1088
"178" 44.25 16.1138 14.4604 37.6276 14.7678 36.0002
"179" 44.5 16 14.4467 37.8178 14.6629 35.9647
"180" 44.75 15.8719 14.4182 37.9677 14.5836 35.9951
"181" 45 15.7315 14.3768 38.0814 14.527 36.0847
"182" 45.25 15.5807 14.3239 38.1625 14.4904 36.2277
"183" 45.5 15.4209 14.2608 38.2141 14.4717 36.419
"184" 45.75 15.2535 14.1886 38.2389 14.4687 36.6539
"185" 46 15.0796 14.1084 38.2395 14.4796 36.9283
"186" 46.25 14.9002 14.0211 38.218 14.5029 37.2382
"187" 46.5 14.7164 13.9276 38.1767 14.5369 37.5804
"188" 46.75 14.5288 13.8285 38.1172 14.5803 37.9515
"189" 47 14.3382 13.7245 38.0413 14.6319 38.3487
"190" 47.25 14.146 13.6169 37.9525 14.6909 38.7577
"191" 47.5 13.9543 13.5081 37.8576 14.7579 39.1641
"192" 47.75 13.7637 13.3986 37.7583 14.8324 39.5692
"193" 48 13.5745 13.2886 37.655 14.9142 39.9734
"194" 48.25 13.3865 13.1781 37.5478 15.0027 40.3766
"195" 48.5 13.2 13.0673 37.4369 15.0974 40.7788
"196" 48.75 13.0148 12.9561 37.3224 15.198 41.1803
"197" 49 12.8312 12.8447 37.2047 15.3011 41.5811
"198" 49.25 12.652 12.7355 37.0935 15.3679 41.9705
"199" 49.5 12.4865 12.6223 36.9853 15.4132 42.3144
"200" 49.75 12.341 12.5071 36.8674 15.4542 42.6481
"201" 50 12.2159 12.3904 36.7421 15.4918 42.9743
"202" 50.25 12.1112 12.2725 36.6096 15.526 43.2929
"203" 50.5 12.0269 12.1533 36.4699 15.5568 43.6035
"204" 50.75 11.9633 12.0329 36.3231 15.5842 43.9062
"205" 51 11.9203 11.9115 36.1693 15.6081 44.2005
