"time" "N1" "N2" "N3" "N4" "N5" "N6"
"139" 34.5 58.874 30.198 24.5193 0 0 0
"140" 34.75 58.7425 30.5525 24.3501 0 0 0
"141" 35 58.61 30.9077 24.1817 0 0 0
"142" 35.25 58.4768 31.2631 24.0139 0 0 0
"143" 35.5 58.3428 31.6186 23.847 0 0 0
"144" 35.75 58.2083 31.9741 23.6808 0 0 0
"145" 36 58.0732 32.3292 23.5155 0 0 0
"146" 36.25 57.9378 32.6838 23.3511 0 0 0
"147" 36.5 57.8022 33.0378 23.1877 0 0 0
"148" 36.75 57.6664 33.3909 23.0252 0 0 0
"149" 37 57.5305 33.7429 22.8637 0 0 0
"150" 37.25 57.3947 34.0938 22.7032 0 0 0
"151" 37.5 57.259 34.4432 22.5438 0 0 0
"152" 37.75 57.1236 34.7912 22.3855 0 0 0
"153" 38 56.9885 35.1375 22.2283 0 0 0
"154" 38.25 56.8549 35.4742 22.0726 0 0 0
"155" 38.5 56.7363 35.7653 21.9234 0 0 0
"156" 38.75 56.6409 36.0134 21.7836 0 0 0
"157" 39 56.5673 36.2248 21.6524 0 0 0
"158" 39.25 56.5128 36.4051 21.5289 0 0 0
"159" 39.5 56.4644 36.5595 21.4128 0 0 0
"160" 39.75 56.3925 36.696 21.3126 0 0 0
"161" 40 56.3023 36.8203 21.2356 0 0 0
"162" 40.25 56.1972 36.9346 21.184 0 0 0
"163" 40.5 56.0789 37.04 21.1585 0 0 0
"164" 40.75 55.948 37.1367 21.1588 0 0 0
"165" 41 55.8052 37.2251 21.1845 0 0 0
"166" 41.25 55.6509 37.3052 21.2352 0 0 0
"167" 41.5 55.4853 37.3772 21.3107 0 0 0
"168" 41.75 55.3087 37.4412 21.4106 0 0 0
"169" 42 55.1215 37.4972 21.5346 0 0 0
"170" 42.25 54.9238 37.5453 21.6825 0 0 0
"171" 42.5 54.7158 37.5856 21.8541 0 0 0
"172" 42.75 54.4978 37.6179 22.0493 0 0 0
"173" 43 54.2699 37.6425 22.2679 0 0 0
"174" 43.25 54.0323 37.6591 22.5099 0 0 0
"175" 43.5 53.7851 37.668 22.7751 0 0 0
"176" 43.75 53.5284 37.6689 23.0636 0 0 0
"177" 44 53.2626 37.6622 23.3705 0 0 0
"178" 44.25 52.9928 37.6514 23.6634 0 0 0
"179" 44.5 52.7254 37.6413 23.9401 0 0 0
"180" 44.75 52.4627 37.6339 24.2031 0 0 0
"181" 45 52.2054 37.6296 24.454 0 0 0
"182" 45.25 51.9537 37.6286 24.6938 0 0 0
"183" 45.5 51.7073 37.6307 24.9234 0 0 0
"184" 45.75 51.4659 37.6359 25.1435 0 0 0
"185" 46 51.2293 37.6438 25.3548 0 0 0
"186" 46.25 50.997 37.6543 25.5581 0 0 0
"187" 46.5 50.7689 37.6672 25.7538 0 0 0
"188" 46.75 50.5446 37.6823 25.9426 0 0 0
"189" 47 50.3239 37.6994 26.1251 0 0 0
"190" 47.25 50.1064 37.7185 26.3016 0 0 0
"191" 47.5 49.8921 37.7392 26.4729 0 0 0
"192" 47.75 49.6805 37.7614 26.6392 0 0 0
"193" 48 49.4716 37.7851 26.8009 0 0 0
"194" 48.25 49.2652 37.8101 26.9585 0 0 0
"195" 48.5 49.0615 37.8329 27.1126 0 0 0
"196" 48.75 48.8624 37.8514 27.2644 0 0 0
"197" 49 48.6687 37.8662 27.4142 0 0 0
"198" 49.25 48.4813 37.8774 27.5621 0 0 0
"199" 49.5 48.3005 37.8849 27.7079 0 0 0
"200" 49.75 48.1267 37.8885 27.8514 0 0 0
"201" 50 47.9606 37.8881 27.9926 0 0 0
"202" 50.25 47.8025 37.8833 28.1311 0 0 0
"203" 50.5 47.653 37.8741 28.2667 0 0 0
"204" 50.75 47.5125 37.8601 28.3993 0 0 0
"205" 51 47.3816 37.8412 28.5286 0 0 0
"206" 51.25 47.2609 37.8171 28.6543 0 0 0
"207" 51.5 47.151 37.7876 28.7763 0 0 0
"208" 51.75 47.0524 37.7525 28.8941 0 0 0
"209" 52 46.9657 37.7114 29.0077 0 0 0
"210" 52.25 46.8917 37.6641 29.1166 0 0 0
"211" 52.5 46.831 37.6104 29.2206 0 0 0
"212" 52.75 46.7843 37.5499 29.3193 0 0 0
"213" 53 46.7524 37.4824 29.4125 0 0 0
"214" 53.25 46.7359 37.4075 29.4998 0 0 0
"215" 53.5 46.7357 37.325 29.5808 0 0 0
"216" 53.75 46.7527 37.2345 29.6552 0 0 0
"217" 54 46.7877 37.1357 29.7225 0 0 0
"218" 54.25 46.8415 37.0282 29.7825 0 0 0
"219" 54.5 46.9153 36.9116 29.8346 0 0 0
"220" 54.75 47.0099 36.7857 29.8783 0 0 0
"221" 55 47.1265 36.6499 29.9134 0 0 0
"222" 55.25 47.2661 36.5039 29.9391 0 0 0
"223" 55.5 47.4299 36.3471 29.9551 0 0 0
"224" 55.75 47.6191 36.1792 29.9607 0 0 0
"225" 56 47.8351 35.9997 29.9554 0 0 0
"226" 56.25 48.0793 35.808 29.9386 0 0 0
"227" 56.5 48.353 35.6037 29.9097 0 0 0
"228" 56.75 48.6578 35.386 29.8679 0 0 0
"229" 57 48.9955 35.1546 29.8125 0 0 0
"230" 57.25 49.3676 34.9086 29.7428 0 0 0
"231" 57.5 49.7762 34.6474 29.6579 0 0 0
"232" 57.75 50.2231 34.3704 29.5571 0 0 0
"233" 58 50.7104 34.0767 29.4393 0 0 0
"234" 58.25 51.2405 33.7655 29.3036 0 0 0
"235" 58.5 51.8158 33.4361 29.149 0 0 0
"236" 58.75 52.4387 33.0874 28.9744 0 0 0
"237" 59 53.1121 32.7185 28.7785 0 0 0
"238" 59.25 53.8037 32.3306 28.5623 0 0 0
"239" 59.5 54.3469 31.9593 28.359 0 0 0
"240" 59.75 54.7832 31.6304 28.1932 0 0 0
"241" 60 55.1434 31.3422 28.0638 0 0 0
"242" 60.25 55.4436 31.0884 27.9653 0 0 0
"243" 60.5 55.6953 30.8632 27.8926 0 0 0
"244" 60.75 55.9073 30.6615 27.8411 0 0 0
"245" 61 56.0897 30.481 27.7933 0 0 0
"246" 61.25 56.2548 30.3236 27.7371 0 0 0
"247" 61.5 56.4064 30.1892 27.6746 0 0 0
"248" 61.75 56.5458 30.0764 27.6064 0 0 0
"249" 62 56.6737 29.9842 27.5328 0 0 0
"250" 62.25 56.7907 29.9114 27.4544 0 0 0
"251" 62.5 56.8974 29.8568 27.3713 0 0 0
"252" 62.75 56.9943 29.8196 27.284 0 0 0
"253" 63 57.0819 29.7988 27.1927 0 0 0
"254" 63.25 57.1606 29.7936 27.0976 0 0 0
"255" 63.5 57.2309 29.8033 26.999 0 0 0
"256" 63.75 57.293 29.8271 26.8972 0 0 0
"257" 64 57.3475 29.8643 26.7923 0 0 0
"258" 64.25 57.3946 29.9143 26.6845 0 0 0
"259" 64.5 57.4346 29.9765 26.5741 0 0 0
"260" 64.75 57.4679 30.0504 26.4612 0 0 0
"261" 65 57.4946 30.1354 26.3458 0 0 0
"262" 65.25 57.5151 30.2311 26.2283 0 0 0
"263" 65.5 57.5296 30.3369 26.1088 0 0 0
"264" 65.75 57.5383 30.4524 25.9873 0 0 0
"265" 66 57.5416 30.5772 25.864 0 0 0
"266" 66.25 57.5395 30.7108 25.7391 0 0 0
"267" 66.5 57.5323 30.853 25.6126 0 0 0
"268" 66.75 57.5201 31.0033 25.4847 0 0 0
"269" 67 57.5033 31.1613 25.3554 0 0 0
"270" 67.25 57.4819 31.3267 25.2249 0 0 0
"271" 67.5 57.4561 31.4991 25.0933 0 0 0
"272" 67.75 57.4262 31.6783 24.9606 0 0 0
"273" 68 57.3922 31.8638 24.827 0 0 0
"274" 68.25 57.3544 32.0555 24.6925 0 0 0
"275" 68.5 57.3128 32.253 24.5572 0 0 0
"276" 68.75 57.2677 32.4561 24.4212 0 0 0
"277" 69 57.2192 32.6643 24.2846 0 0 0
"278" 69.25 57.1675 32.8775 24.1474 0 0 0
"279" 69.5 57.1126 33.0954 24.0098 0 0 0
"280" 69.75 57.0547 33.3178 23.8717 0 0 0
"281" 70 56.9941 33.5443 23.7333 0 0 0
"282" 70.25 56.9307 33.7747 23.5946 0 0 0
"283" 70.5 56.8647 34.0088 23.4557 0 0 0
"284" 70.75 56.7963 34.2463 23.3167 0 0 0
"285" 71 56.7256 34.4871 23.1775 0 0 0
"286" 71.25 56.6528 34.7308 23.0383 0 0 0
"287" 71.5 56.5778 34.9772 22.8991 0 0 0
"288" 71.75 56.5009 35.2262 22.76 0 0 0
"289" 72 56.4222 35.4776 22.621 0 0 0
"290" 72.25 56.3418 35.7304 22.4821 0 0 0
"291" 72.5 56.2665 35.9578 22.346 0 0 0
"292" 72.75 56.2071 36.1513 22.2166 0 0 0
"293" 73 56.163 36.3165 22.094 0 0 0
"294" 73.25 56.1033 36.4603 21.9828 0 0 0
"295" 73.5 56.0225 36.59 21.8928 0 0 0
"296" 73.75 55.9257 36.7089 21.8281 0 0 0
"297" 74 55.8148 36.8184 21.7896 0 0 0
"298" 74.25 55.691 36.919 21.7774 0 0 0
"299" 74.5 55.5549 37.0111 21.7912 0 0 0
"300" 74.75 55.4068 37.0947 21.8306 0 0 0
"301" 75 55.2472 37.1701 21.8952 0 0 0
"302" 75.25 55.0764 37.2373 21.9847 0 0 0
"303" 75.5 54.8946 37.2964 22.0987 0 0 0
"304" 75.75 54.7021 37.3474 22.2371 0 0 0
"305" 76 54.4992 37.3904 22.3996 0 0 0
"306" 76.25 54.286 37.4255 22.5859 0 0 0
"307" 76.5 54.0627 37.4526 22.796 0 0 0
"308" 76.75 53.8295 37.4718 23.0298 0 0 0
"309" 77 53.5866 37.483 23.287 0 0 0
"310" 77.25 53.3343 37.4865 23.5619 0 0 0
"311" 77.5 53.078 37.4862 23.8238 0 0 0
"312" 77.75 52.8235 37.4862 24.0719 0 0 0
"313" 78 52.5728 37.4882 24.3087 0 0 0
"314" 78.25 52.3268 37.4928 24.5355 0 0 0
"315" 78.5 52.0853 37.5001 24.7532 0 0 0
"316" 78.75 51.8483 37.5098 24.9626 0 0 0
"317" 79 51.6154 37.522 25.1643 0 0 0
"318" 79.25 51.3865 37.5363 25.3589 0 0 0
"319" 79.5 51.1613 37.5528 25.5469 0 0 0
"320" 79.75 50.9394 37.5711 25.7289 0 0 0
"321" 80 50.7208 37.5912 25.9053 0 0 0
"322" 80.25 50.5051 37.6129 26.0765 0 0 0
"323" 80.5 50.2922 37.6361 26.243 0 0 0
"324" 80.75 50.0818 37.6606 26.4051 0 0 0
"325" 81 49.8738 37.6863 26.5633 0 0 0
"326" 81.25 49.6681 37.712 26.7178 0 0 0
"327" 81.5 49.4661 37.7336 26.8697 0 0 0
"328" 81.75 49.2689 37.7515 27.0197 0 0 0
"329" 82 49.0774 37.766 27.168 0 0 0
"330" 82.25 48.892 37.7769 27.3143 0 0 0
"331" 82.5 48.7133 37.7842 27.4586 0 0 0
"332" 82.75 48.5417 37.7875 27.6007 0 0 0
"333" 83 48.3776 37.7869 27.7404 0 0 0
"334" 83.25 48.2216 37.7819 27.8775 0 0 0
"335" 83.5 48.074 37.7724 28.0117 0 0 0
"336" 83.75 47.9356 37.7582 28.1429 0 0 0
