"time" "N1" "N2" "N3" "N4" "N5" "R1" "R2" "R3" "R4" "R5"
"85" 1020.75 12.8457 26.3582 37.3054 9.3176 33.4996 0.1078 0.2675 0.7274 0.1633 0.12
"86" 1021 12.7342 26.2871 37.4242 9.4288 33.4061 0.1061 0.269 0.7357 0.1669 0.1246
"87" 1021.25 12.6157 26.1984 37.5162 9.5517 33.3661 0.1046 0.2691 0.7406 0.1702 0.1287
"88" 1021.5 12.4919 26.0954 37.586 9.6775 33.3729 0.1035 0.2686 0.7427 0.1735 0.1324
"89" 1021.75 12.3643 25.9816 37.6386 9.7999 33.4228 0.1026 0.2674 0.7424 0.1765 0.1359
"90" 1022 12.2338 25.8586 37.6762 9.9196 33.511 0.1017 0.2657 0.7396 0.1794 0.1389
"91" 1022.25 12.1009 25.7277 37.7006 10.0368 33.6326 0.101 0.2634 0.7348 0.182 0.1415
"92" 1022.5 11.9663 25.5899 37.7132 10.1519 33.7836 0.1004 0.2606 0.7282 0.1845 0.1439
"93" 1022.75 11.8303 25.4463 37.7154 10.2651 33.9603 0.0998 0.2573 0.7199 0.1869 0.1459
"94" 1023 11.6933 25.2976 37.7081 10.3767 34.1595 0.0993 0.2536 0.7101 0.1891 0.1476
"95" 1023.25 11.5557 25.1445 37.6925 10.487 34.3783 0.0989 0.2496 0.6991 0.1911 0.149
"96" 1023.5 11.4177 24.9877 37.6695 10.5961 34.6142 0.0985 0.2453 0.6869 0.1931 0.1503
"97" 1023.75 11.2797 24.8278 37.6398 10.7043 34.8648 0.0982 0.2406 0.6738 0.1949 0.1513
"98" 1024 11.1418 24.6653 37.6042 10.8117 35.128 0.0978 0.2357 0.6598 0.1966 0.1521
"99" 1024.25 11.0043 24.5006 37.5633 10.9184 35.4019 0.0976 0.2305 0.6451 0.1983 0.1528
"100" 1024.5 10.8673 24.3342 37.5179 11.0247 35.6848 0.0973 0.2252 0.6297 0.1998 0.1533
"101" 1024.75 10.731 24.1664 37.4683 11.1306 35.9752 0.0971 0.2197 0.6138 0.2012 0.1537
"102" 1025 10.5955 23.9975 37.4151 11.2364 36.2717 0.0969 0.214 0.5975 0.2026 0.1539
"103" 1025.25 10.4609 23.828 37.3588 11.342 36.5729 0.0967 0.2081 0.5808 0.2039 0.1541
"104" 1025.5 10.3274 23.6579 37.2998 11.4477 36.8777 0.0966 0.2022 0.5638 0.2051 0.1541
"105" 1025.75 10.195 23.4877 37.2384 11.5536 37.1851 0.0965 0.1961 0.5466 0.2063 0.1541
"106" 1026 10.0638 23.3174 37.1751 11.6597 37.4941 0.0963 0.19 0.5292 0.2074 0.1539
"107" 1026.25 9.9338 23.1473 37.11 11.7661 37.8039 0.0963 0.1838 0.5117 0.2085 0.1538
"108" 1026.5 9.8053 22.9776 37.0435 11.873 38.1136 0.0962 0.1775 0.4942 0.2095 0.1535
"109" 1026.75 9.678 22.8084 36.9759 11.9803 38.4226 0.0961 0.1712 0.4766 0.2105 0.1533
"110" 1027 9.5522 22.6398 36.9074 12.0883 38.7303 0.0961 0.1648 0.459 0.2114 0.1529
"111" 1027.25 9.4279 22.472 36.8381 12.1969 39.0361 0.096 0.1584 0.4414 0.2123 0.1526
"112" 1027.5 9.305 22.3051 36.7684 12.3063 39.3395 0.096 0.1519 0.424 0.2132 0.1522
"113" 1027.75 9.1836 22.1391 36.6982 12.4165 39.64 0.096 0.1455 0.4067 0.214 0.1518
"114" 1028 9.0637 21.9742 36.6279 12.5275 39.9374 0.0959 0.139 0.3894 0.2148 0.1514
"115" 1028.25 8.9454 21.8104 36.5574 12.6394 40.2312 0.0959 0.1325 0.3724 0.2156 0.1509
"116" 1028.5 8.8285 21.6477 36.487 12.7522 40.5211 0.0959 0.126 0.3555 0.2163 0.1505
"117" 1028.75 8.7132 21.4862 36.4167 12.8661 40.807 0.0959 0.1195 0.3388 0.2171 0.15
"118" 1029 8.5999 21.3273 36.349 12.9633 41.0923 0.0963 0.1142 0.3231 0.218 0.1502
"119" 1029.25 8.4894 21.1722 36.2878 13.0339 41.385 0.0966 0.1099 0.3078 0.2192 0.1508
"120" 1029.5 8.3831 21.0022 36.2153 13.0852 41.6982 0.0982 0.1076 0.2937 0.2208 0.1531
"121" 1029.75 8.2856 20.8192 36.1164 13.1264 42.0416 0.1009 0.1063 0.2794 0.2226 0.1564
"122" 1030 8.1998 20.6323 36.0074 13.1637 42.3813 0.1044 0.106 0.2663 0.2245 0.1604
"123" 1030.25 8.1263 20.4444 35.8935 13.199 42.7167 0.108 0.1056 0.2533 0.2261 0.1645
"124" 1030.5 8.0651 20.2554 35.7748 13.2324 43.0479 0.1117 0.1053 0.2405 0.2274 0.1686
"125" 1030.75 8.0162 20.0656 35.6515 13.2639 43.3747 0.1156 0.105 0.2278 0.2285 0.1727
"126" 1031 7.9794 19.875 35.5236 13.2934 43.6972 0.1195 0.1046 0.2153 0.2294 0.1767
"127" 1031.25 7.9548 19.6836 35.3912 13.3211 44.0152 0.1236 0.1043 0.2028 0.2299 0.1807
"128" 1031.5 7.9424 19.4915 35.2543 13.3468 44.3285 0.1278 0.104 0.1905 0.2302 0.1847
"129" 1031.75 7.9424 19.2987 35.113 13.3705 44.637 0.1321 0.1037 0.1784 0.2303 0.1887
"130" 1032 7.9547 19.1054 34.9673 13.3923 44.9405 0.1366 0.1033 0.1664 0.2301 0.1927
"131" 1032.25 7.9797 18.9115 34.8173 13.412 45.2389 0.1411 0.103 0.1545 0.2296 0.1966
"132" 1032.5 8.0174 18.7171 34.663 13.4298 45.532 0.1457 0.1027 0.1428 0.2289 0.2005
"133" 1032.75 8.0681 18.5222 34.5043 13.4454 45.8194 0.1505 0.1023 0.1313 0.2279 0.2044
"134" 1033 8.1322 18.3268 34.3412 13.459 46.1011 0.1553 0.102 0.1199 0.2265 0.2082
"135" 1033.25 8.2113 18.1355 34.1458 13.4637 46.3747 0.1624 0.1042 0.1119 0.2258 0.2141
"136" 1033.5 8.2973 17.9831 33.9061 13.4516 46.6115 0.1728 0.111 0.1106 0.2266 0.2229
"137" 1033.75 8.3799 17.8783 33.654 13.4335 46.8272 0.1835 0.1175 0.1096 0.2272 0.2303
"138" 1034 8.4598 17.8165 33.3918 13.4102 47.0245 0.1941 0.1236 0.1087 0.2277 0.2365
"139" 1034.25 8.537 17.7935 33.1208 13.3822 47.205 0.2048 0.1293 0.1079 0.2281 0.2414
"140" 1034.5 8.6119 17.8061 32.8421 13.35 47.3698 0.2155 0.1346 0.1072 0.2284 0.2453
"141" 1034.75 8.6845 17.8513 32.5568 13.3139 47.5201 0.2262 0.1396 0.1065 0.2285 0.2481
"142" 1035 8.755 17.9267 32.2656 13.2741 47.6568 0.2369 0.1443 0.1059 0.2286 0.25
"143" 1035.25 8.8235 18.0301 31.9693 13.2311 47.7806 0.2475 0.1486 0.1053 0.2285 0.251
"144" 1035.5 8.8901 18.1598 31.6685 13.1849 47.8922 0.2581 0.1527 0.1048 0.2283 0.2511
"145" 1035.75 8.9548 18.3141 31.3637 13.1359 47.9922 0.2687 0.1564 0.1042 0.2281 0.2505
"146" 1036 9.0179 18.4915 31.0556 13.0841 48.0811 0.2791 0.1599 0.1037 0.2277 0.2491
"147" 1036.25 9.0792 18.6907 30.7445 13.0299 48.1594 0.2895 0.1631 0.1033 0.2273 0.2469
"148" 1036.5 9.1389 18.9107 30.4308 12.9732 48.2274 0.2998 0.1661 0.1028 0.2268 0.2441
"149" 1036.75 9.1969 19.1503 30.115 12.9143 48.2856 0.3101 0.1688 0.1024 0.2262 0.2407
"150" 1037 9.2535 19.4084 29.7973 12.8533 48.3343 0.3202 0.1712 0.102 0.2255 0.2366
"151" 1037.25 9.3085 19.6842 29.4781 12.7902 48.3739 0.3303 0.1734 0.1016 0.2248 0.2319
