"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12" "R1" "R2" "R3" "R4" "R5"
"83" 20.5 0.2727 1.2778 1.1796 1.4326 1.1972 0.3182 8.2263 0.5887 16.3376 24.8928 0.6996 1.0715 0.046 3.0488 4.7086 1.8271 2.7274
"84" 20.75 0.2627 1.2416 1.1481 1.403 1.1714 0.3061 8.1514 0.5666 16.4083 25.033 0.6752 1.0421 0.0459 3.064 4.7149 1.8368 2.739
"85" 21 0.2531 1.2064 1.1173 1.3738 1.146 0.2944 8.0762 0.5454 16.4771 25.1705 0.6515 1.0134 0.0458 3.0792 4.7212 1.8463 2.7508
"86" 21.25 0.2439 1.1722 1.0872 1.3451 1.1211 0.2832 8.0008 0.5249 16.5441 25.3054 0.6286 0.9854 0.0457 3.0944 4.7277 1.8556 2.7628
"87" 21.5 0.2349 1.1388 1.0579 1.3169 1.0967 0.2723 7.9252 0.5052 16.6092 25.4375 0.6065 0.9581 0.0456 3.1096 4.7343 1.8648 2.7749
"88" 21.75 0.2263 1.1062 1.0293 1.2892 1.0727 0.2619 7.8495 0.4862 16.6725 25.5671 0.5851 0.9315 0.0455 3.1249 4.7409 1.8739 2.7871
"89" 22 0.218 1.0746 1.0014 1.2619 1.0491 0.2519 7.7738 0.4679 16.7341 25.6942 0.5645 0.9056 0.0453 3.1401 4.7477 1.8828 2.7994
"90" 22.25 0.21 1.0437 0.9741 1.2351 1.026 0.2422 7.698 0.4502 16.7939 25.8188 0.5445 0.8804 0.0452 3.1554 4.7545 1.8916 2.8119
"91" 22.5 0.2022 1.0137 0.9476 1.2088 1.0033 0.2329 7.6222 0.4332 16.852 25.941 0.5252 0.8557 0.0451 3.1706 4.7615 1.9002 2.8244
"92" 22.75 0.1948 0.9845 0.9217 1.183 0.981 0.2239 7.5464 0.4168 16.9085 26.0608 0.5066 0.8318 0.045 3.1859 4.7684 1.9087 2.837
"93" 23 0.1876 0.9561 0.8965 1.1576 0.9592 0.2153 7.4707 0.401 16.9633 26.1782 0.4886 0.8084 0.0449 3.2011 4.7755 1.9171 2.8496
"94" 23.25 0.1807 0.9284 0.8719 1.1327 0.9378 0.207 7.3951 0.3858 17.0166 26.2934 0.4713 0.7857 0.0449 3.2163 4.7826 1.9253 2.8623
"95" 23.5 0.174 0.9015 0.8479 1.1083 0.9168 0.199 7.3196 0.3712 17.0683 26.4063 0.4545 0.7635 0.0448 3.2314 4.7897 1.9334 2.8751
"96" 23.75 0.1675 0.8753 0.8245 1.0843 0.8962 0.1913 7.2443 0.357 17.1186 26.517 0.4383 0.742 0.0447 3.2466 4.7969 1.9414 2.8879
"97" 24 0.1613 0.8498 0.8018 1.0608 0.876 0.1839 7.1692 0.3435 17.1673 26.6256 0.4227 0.721 0.0446 3.2616 4.8041 1.9492 2.9007
"98" 24.25 0.1553 0.825 0.7796 1.0377 0.8562 0.1768 7.0943 0.3304 17.2146 26.732 0.4076 0.7005 0.0445 3.2767 4.8114 1.9569 2.9136
"99" 24.5 0.1495 0.8009 0.758 1.015 0.8368 0.1699 7.0196 0.3178 17.2604 26.8364 0.393 0.6806 0.0444 3.2917 4.8187 1.9645 2.9264
"100" 24.75 0.144 0.7775 0.7369 0.9928 0.8179 0.1633 6.9452 0.3057 17.3049 26.9388 0.3789 0.6612 0.0444 3.3066 4.826 1.972 2.9393
"101" 25 0.1386 0.7547 0.7164 0.971 0.7992 0.157 6.8711 0.294 17.348 27.0392 0.3654 0.6424 0.0443 3.3215 4.8333 1.9794 2.9522
"102" 25.25 0.1334 0.7325 0.6965 0.9497 0.781 0.1509 6.7973 0.2827 17.3899 27.1376 0.3522 0.6241 0.0442 3.3363 4.8406 1.9866 2.9651
"103" 25.5 0.1285 0.711 0.677 0.9287 0.7632 0.145 6.7238 0.2719 17.4304 27.2342 0.3396 0.6062 0.0441 3.351 4.8479 1.9937 2.978
"104" 25.75 0.1237 0.69 0.6581 0.9082 0.7457 0.1394 6.6507 0.2615 17.4696 27.3289 0.3274 0.5888 0.0441 3.3657 4.8552 2.0007 2.9909
"105" 26 0.119 0.6697 0.6396 0.8881 0.7286 0.1339 6.578 0.2515 17.5076 27.4218 0.3156 0.572 0.044 3.3803 4.8626 2.0076 3.0037
"106" 26.25 0.1146 0.6499 0.6217 0.8683 0.7118 0.1287 6.5056 0.2418 17.5444 27.5129 0.3042 0.5555 0.0439 3.3949 4.8699 2.0144 3.0166
"107" 26.5 0.1103 0.6307 0.6042 0.849 0.6954 0.1237 6.4336 0.2326 17.58 27.6022 0.2933 0.5395 0.0439 3.4093 4.8772 2.0211 3.0294
"108" 26.75 0.1062 0.612 0.5872 0.8301 0.6793 0.1189 6.3621 0.2236 17.6145 27.6899 0.2827 0.524 0.0438 3.4237 4.8845 2.0277 3.0421
"109" 27 0.1022 0.5939 0.5707 0.8115 0.6636 0.1142 6.291 0.215 17.6479 27.7759 0.2725 0.5089 0.0438 3.438 4.8917 2.0341 3.0549
"110" 27.25 0.0983 0.5762 0.5546 0.7933 0.6482 0.1098 6.2203 0.2068 17.6801 27.8602 0.2626 0.4942 0.0437 3.4523 4.899 2.0405 3.0675
"111" 27.5 0.0946 0.5591 0.5389 0.7755 0.6332 0.1055 6.1501 0.1988 17.7113 27.943 0.2531 0.4799 0.0436 3.4664 4.9062 2.0468 3.0802
"112" 27.75 0.0911 0.5425 0.5237 0.7581 0.6184 0.1013 6.0804 0.1911 17.7414 28.0242 0.244 0.466 0.0436 3.4805 4.9134 2.0529 3.0928
"113" 28 0.0877 0.5263 0.5089 0.741 0.604 0.0974 6.0111 0.1838 17.7705 28.1039 0.2351 0.4525 0.0435 3.4945 4.9206 2.059 3.1053
"114" 28.25 0.0844 0.5106 0.4944 0.7243 0.5899 0.0936 5.9423 0.1767 17.7986 28.1821 0.2266 0.4394 0.0435 3.5084 4.9278 2.065 3.1178
"115" 28.5 0.0812 0.4954 0.4804 0.708 0.5761 0.0899 5.874 0.1699 17.8257 28.2588 0.2184 0.4266 0.0434 3.5222 4.9349 2.0709 3.1302
"116" 28.75 0.0781 0.4805 0.4667 0.6919 0.5626 0.0864 5.8063 0.1633 17.8519 28.3341 0.2105 0.4142 0.0434 3.5359 4.9419 2.0767 3.1426
"117" 29 0.0752 0.4662 0.4535 0.6762 0.5494 0.083 5.739 0.157 17.8771 28.408 0.2028 0.4021 0.0433 3.5495 4.949 2.0824 3.1549
"118" 29.25 0.0723 0.4522 0.4405 0.6609 0.5365 0.0797 5.6723 0.1509 17.9014 28.4805 0.1955 0.3904 0.0433 3.563 4.956 2.088 3.1671
"119" 29.5 0.0696 0.4386 0.428 0.6459 0.5239 0.0766 5.6061 0.1451 17.9248 28.5517 0.1883 0.379 0.0432 3.5765 4.9629 2.0935 3.1793
"120" 29.75 0.067 0.4255 0.4158 0.6312 0.5116 0.0736 5.5404 0.1395 17.9474 28.6216 0.1815 0.3679 0.0432 3.5898 4.9699 2.0989 3.1914
"121" 30 0.0644 0.4127 0.4039 0.6168 0.4995 0.0707 5.4753 0.1341 17.9691 28.6902 0.1749 0.3572 0.0432 3.6031 4.9767 2.1043 3.2034
"122" 30.25 0.062 0.4003 0.3923 0.6027 0.4877 0.0679 5.4107 0.1289 17.9899 28.7575 0.1685 0.3467 0.0431 3.6162 4.9836 2.1096 3.2153
"123" 30.5 0.0597 0.3882 0.3811 0.5889 0.4762 0.0652 5.3467 0.1239 18.01 28.8236 0.1624 0.3366 0.0431 3.6293 4.9903 2.1148 3.2272
"124" 30.75 0.0574 0.3765 0.3702 0.5754 0.4649 0.0626 5.2832 0.1191 18.0293 28.8885 0.1564 0.3267 0.043 3.6423 4.9971 2.1199 3.239
"125" 31 0.0552 0.3652 0.3596 0.5622 0.4539 0.0602 5.2202 0.1144 18.0478 28.9523 0.1507 0.3171 0.043 3.6551 5.0037 2.1249 3.2507
"126" 31.25 0.0531 0.3542 0.3492 0.5493 0.4431 0.0578 5.1579 0.11 18.0655 29.0149 0.1452 0.3078 0.043 3.6679 5.0104 2.1299 3.2623
"127" 31.5 0.0511 0.3435 0.3392 0.5367 0.4326 0.0555 5.0961 0.1057 18.0825 29.0764 0.1399 0.2988 0.0429 3.6806 5.017 2.1348 3.2739
"128" 31.75 0.0492 0.3331 0.3294 0.5243 0.4223 0.0533 5.0348 0.1016 18.0988 29.1367 0.1348 0.29 0.0429 3.6932 5.0235 2.1396 3.2853
"129" 32 0.0473 0.323 0.32 0.5122 0.4122 0.0512 4.9742 0.0977 18.1143 29.196 0.1299 0.2815 0.0429 3.7057 5.03 2.1443 3.2967
"130" 32.25 0.0455 0.3133 0.3108 0.5004 0.4024 0.0492 4.9141 0.0939 18.1292 29.2543 0.1251 0.2732 0.0428 3.7181 5.0364 2.149 3.308
"131" 32.5 0.0438 0.3038 0.3018 0.4889 0.3928 0.0473 4.8545 0.0902 18.1434 29.3115 0.1205 0.2651 0.0428 3.7304 5.0428 2.1536 3.3192
"132" 32.75 0.0421 0.2946 0.2931 0.4776 0.3834 0.0454 4.7956 0.0867 18.157 29.3677 0.1161 0.2573 0.0428 3.7426 5.0491 2.1581 3.3303
"133" 33 0.0405 0.2856 0.2846 0.4665 0.3742 0.0436 4.7372 0.0833 18.1699 29.4229 0.1119 0.2497 0.0427 3.7547 5.0553 2.1626 3.3413
"134" 33.25 0.039 0.277 0.2764 0.4557 0.3653 0.0419 4.6793 0.0801 18.1822 29.4772 0.1078 0.2423 0.0427 3.7667 5.0615 2.167 3.3523
"135" 33.5 0.0375 0.2686 0.2684 0.4451 0.3565 0.0402 4.6221 0.077 18.1938 29.5305 0.1038 0.2352 0.0427 3.7786 5.0677 2.1713 3.3631
"136" 33.75 0.0361 0.2604 0.2607 0.4348 0.348 0.0386 4.5654 0.074 18.2049 29.5829 0.1 0.2282 0.0426 3.7904 5.0737 2.1756 3.3739
"137" 34 0.0347 0.2525 0.2531 0.4247 0.3396 0.0371 4.5093 0.0711 18.2154 29.6344 0.0963 0.2215 0.0426 3.8021 5.0798 2.1798 3.3846
"138" 34.25 0.0334 0.2448 0.2458 0.4148 0.3315 0.0356 4.4538 0.0683 18.2253 29.685 0.0928 0.2149 0.0426 3.8138 5.0857 2.1839 3.3951
"139" 34.5 0.0321 0.2374 0.2387 0.4052 0.3235 0.0342 4.3988 0.0656 18.2346 29.7347 0.0894 0.2085 0.0425 3.8253 5.0917 2.188 3.4056
